Class,N,Top-1 (%),Top-3 (%),Top-5 (%)
0,6196,15.251775338928342,23.240800516462233,26.11362169141381
1,7272,15.662816281628164,22.717271727172715,25.426292629262925
2,1976,15.991902834008098,23.32995951417004,27.125506072874494
3,2355,15.54140127388535,23.906581740976645,26.963906581740975
4,6615,16.235827664399093,23.567649281934997,26.39455782312925
5,2702,15.136935603256847,21.983715766099184,24.64840858623242
6,1653,16.636418632788867,23.895946763460373,26.013309134906233
7,3393,16.003536693191865,23.40111995284409,26.348364279398762
8,956,13.912133891213388,20.920502092050206,24.05857740585774
9,6876,15.75043630017452,23.022105875509016,25.945317044793487
