rxn_smiles,correct_top1,correct_top3,correct_top5
N#Cc1ccsc1Nc1cc(F)c(F)cc1[N+](=O)[O-]>>C1CCOC1.N#Cc1ccsc1N.O=[N+]([O-])c1cc(F)c(F)cc1F.[H-].[Na+],False,True,True
COC(=O)Cc1cn(C)c2cc(OCC(C)c3cn(-c4ccc(C(F)(F)F)cc4)nc3C)ccc12>>CCCCP(CCCC)CCCC.COC(=O)Cc1cn(C)c2cc(O)ccc12.Cc1ccccc1.Cc1nn(-c2ccc(C(F)(F)F)cc2)cc1C(C)CO,False,False,False
O=c1ccc2ncc(F)c3c2n1CC3CN1CCC(NCc2cc3c(cn2)OCS3)C(O)C1>>CCOCC.Cl.Cl.ClC(Cl)Cl.NC1CCN(CC2Cn3c(=O)ccc4ncc(F)c2c43)CC1O.O=Cc1cc2c(cn1)OCS2,False,False,False
C=C(C)C(=O)Oc1ccc(N2C(=O)C(=C(C)C)C(=C(C)c3cc(-c4ccccc4)sc3C)C2=O)cc1>>C=C(C)C(=O)Cl.CC(C)=C1C(=O)N(c2ccc(O)cc2)C(=O)C1=C(C)c1cc(-c2ccccc2)sc1C.CCN(CC)CC.ClCCl,False,True,True
OCc1cncc(Cl)c1COC1CCCCO1>>O=Cc1cncc(Cl)c1COC1CCCCO1.OCc1c(Cl)cncc1Cl,False,False,False
COc1ncc(Nc2ncc(CN3CCN(S(C)(=O)=O)CC3C)cc2-c2nc(C)nc(N)n2)cc1F>>COc1ccc(CN(Cc2ccc(OC)cc2)c2nc(C)nc(-c3cc(CN4CCN(S(C)(=O)=O)CC4C)cnc3Nc3cnc(OC)c(F)c3)n2)cc1.O=C(O)C(F)(F)F.O=S(=O)(O)C(F)(F)F,True,True,True
CCCCC(CO)c1ccc(C)cc1C>>CCCCC1CO1.Cc1cccc(C)c1.Cl.[Cl-],False,False,False
Fc1cc(-c2nc(CN3CCCCC3)co2)ccc1OCCCN1CCCCC1>>C1CCOC1.Cl.OCCCN1CCCCC1.Oc1ccc(-c2nc(CN3CCCCC3)co2)cc1F.c1ccc(P(c2ccccc2)c2ccccc2)cc1,False,False,False
Cc1ccc(CNc2ccc3c(NCCS(C)=O)cccc3n2)o1>>CSCCNc1cccc2nc(NCc3ccc(C)o3)ccc12.ClCCl.O=C(OO)c1cccc(Cl)c1,False,False,False
CCOCCCOc1nsnc1-c1cccnc1>>C1CCOC1.CCOCCCO.Clc1nsnc1-c1cccnc1.O.[H-].[Na+],True,True,True
CC(C)CCCC(C)C1CCC2C3CC=C4CC(OCCCCCCS)CCC4(C)C3CCC12C>>C1CCOC1.CC(C)CCCC(C)C1CCC2C3CC=C4CC(OCCCCCCI)CCC4(C)C3CCC12C.NC(N)=S,False,False,False
O=C(CNC(=O)N1CCCCC1)N1CCC(=C2c3ccccc3C=Cc3ccccc32)CC1>>CCN(CC)CC.Cl.ClCCl.NCC(=O)N1CCC(=C2c3ccccc3C=Cc3ccccc32)CC1.O=C(Cl)N1CCCCC1,False,False,False
Cc1ccc2c(c1)C(=O)C(CC=O)C2(C)C>>CC=CCC1C(=O)c2cc(C)ccc2C1(C)C.CO.ClCCl.O=[O+][O-],True,True,True
O=S(=O)(NC1CCN(CCCC(O)c2ccccc2)CC1)c1ccccc1>>O=C(CCCN1CCC(NS(=O)(=O)c2ccccc2)CC1)c1ccccc1.[BH4-].[Na+],False,False,False
CCCC1(OC(C)=O)CCC2C3CCC4CC(=O)CC(C)C4(C)C3CCC21C>>CC(=O)OC(C)=O.CCCC1(O)CCC2C3CCC4CC(=O)CC(C)C4(C)C3CCC21C.CN(C)c1ccncc1.c1ccncc1,False,False,False
CCOC(=O)Cn1c(Cl)cnc(NC2CN(S(C)(=O)=O)CC2c2ccccn2)c1=O>>CCN(C(C)C)C(C)C.CCOC(=O)Cn1c(Cl)cnc(NC2CN(C(=O)OC(C)(C)C)CC2c2ccccn2)c1=O.CS(=O)(=O)Cl.Cl.ClCCl.O=C([O-])O.[Na+],False,False,False
COc1cc(N)c(C(=O)CCc2ccc(O)cc2)c(OC)c1>>CO.COc1cc(N)c(C(=O)C=Cc2ccc(O)cc2)c(OC)c1.O.[BH4-].[H][H].[Na+],False,False,False
Nc1cc2c(cc1N)CCC2>>CCO.Cl[Sn]Cl.Nc1cc2c(cc1[N+](=O)[O-])CCC2,False,False,False
